tag_name,hunt_unit,hunt_type,hunt_dates,date_recorded,time_recorded,tag_image
Res Antelope Horns Longer Than Ears Tag,"Unit: 061, 062, 064, 071, 073",Archery,"Aug 01, 2025 - Aug 21, 2025",2025-07-25,21:38
Res Antelope Horns Longer Than Ears Tag,"Unit: 061, 062, 064, 071, 073",Archery,"Aug 01, 2025 - Aug 21, 2025",2025-07-24,21:57,https://ams-production-115850661822.s3-us-gov-west-1.amazonaws.com/license_products/production/432/storefront_images/antelope_HLTE_500.jpeg?1623423370
Res Antelope Horns Longer Than Ears Tag,"Unit: 061, 062, 064, 071, 073",Archery,"Aug 01, 2025 - Aug 21, 2025",2025-07-23,21:58,https://ams-production-115850661822.s3-us-gov-west-1.amazonaws.com/license_products/production/432/storefront_images/antelope_HLTE_500.jpeg?1623423370
Res Antelope Horns Longer Than Ears Tag,"Unit: 061, 062, 064, 071, 073",Archery,"Aug 01, 2025 - Aug 21, 2025",2025-07-22,21:58,https://ams-production-115850661822.s3-us-gov-west-1.amazonaws.com/license_products/production/432/storefront_images/antelope_HLTE_500.jpeg?1623423370
Res Antelope Horns Longer Than Ears Tag,"Unit: 061, 062, 064, 071, 073",Archery,"Aug 01, 2025 - Aug 21, 2025",2025-07-25,21:59,https://ams-production-115850661822.s3-us-gov-west-1.amazonaws.com/license_products/production/432/storefront_images/antelope_HLTE_500.jpeg?1623423370
